                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.00081,                0.94667,                0.99238,                0.05557,                0.03466,                0.03466,                0.03466
                     68,                0.00087,                0.95429,                0.99238,                0.04954,                0.03367,                0.03367,                0.03367
                     69,                0.00069,                0.95429,                0.99048,                0.05698,                0.03268,                0.03268,                0.03268
                     70,                 0.0007,                0.94857,                0.99238,                0.05812,                0.03169,                0.03169,                0.03169
                     71,                0.00087,                0.95238,                0.98667,                0.05694,                 0.0307,                 0.0307,                 0.0307
                     72,                 0.0006,                0.95429,                0.98857,                0.05423,                0.02971,                0.02971,                0.02971
                     73,                0.00069,                 0.9581,                0.99048,                0.05099,                0.02872,                0.02872,                0.02872
                     74,                0.00054,                0.94857,                0.99048,                0.05375,                0.02773,                0.02773,                0.02773
                     75,                0.00057,                0.94667,                0.98857,                0.06046,                0.02674,                0.02674,                0.02674
                     76,                0.00055,                0.95429,                0.98857,                0.06172,                0.02575,                0.02575,                0.02575
                     77,                0.00049,                0.94667,                0.99048,                0.05244,                0.02476,                0.02476,                0.02476
                     78,                0.00058,                0.95619,                0.98667,                0.05885,                0.02377,                0.02377,                0.02377
                     79,                0.00045,                0.95238,                0.98857,                0.05759,                0.02278,                0.02278,                0.02278
                     80,                0.00056,                0.95238,                0.99238,                0.04875,                0.02179,                0.02179,                0.02179
                     81,                0.00044,                0.95619,                0.99238,                0.05124,                 0.0208,                 0.0208,                 0.0208
                     82,                 0.0004,                0.95429,                0.98667,                0.05165,                0.01981,                0.01981,                0.01981
                     83,                0.00045,                0.95048,                0.99238,                0.05767,                0.01882,                0.01882,                0.01882
                     84,                 0.0004,                0.95429,                0.99238,                0.05139,                0.01783,                0.01783,                0.01783
                     85,                0.00042,                0.95429,                0.98857,                0.05204,                0.01684,                0.01684,                0.01684
                     86,                0.00066,                   0.96,                0.99429,                0.04657,                0.01585,                0.01585,                0.01585
                     87,                0.00036,                 0.9581,                0.99048,                0.04765,                0.01486,                0.01486,                0.01486
                     88,                0.00035,                0.95619,                0.99048,                0.04789,                0.01387,                0.01387,                0.01387
                     89,                0.00039,                   0.96,                0.99048,                0.04848,                0.01288,                0.01288,                0.01288
